relative_path,codec,profile,bit_depth,hdr,resolution,audio,duration,bitrate,fps,file_size
"Buscando a Nemo (2003) [tmdbid-12]/Buscando a Nemo (2003) - (Spanish English Subs) BDRip 2160p x265 10Bit Dolby Vision HDR-EAC3 AC3 (hispashare com).mkv",HEVC,Main 10,10-bit,Dolby Vision,4K,"EAC3 5.1 (Castellano); AC3 5.1 (Ingles)",6054s,33479kbps,23.98,23.60 GB
"C'mon C'mon. Siempre adelante (2021) [tmdbid-632617]/C'mon C'mon. Siempre adelante (2021) - (h264 1080p) (English - Spanish Subs).mkv",H264,High,8-bit,SDR,720p,"EAC3 5.1 (English)",6599s,7446kbps,23.98,5.72 GB
"Campanilla y la leyenda de la bestia (2014) [tmdbid-297270]/Campanilla y la leyenda de la bestia (2014) - [BDrip] [x264] [Castellano].mkv",H264,Constrained Baseline,8-bit,SDR,SD,"AC3 5.1 (stream 0)",4575s,1927kbps,23.98,1.03 GB
"Cars (2006) [tmdbid-920]/Cars (2006) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AAC by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AAC 5.1 (spa); AAC 7.1 (eng)",7007s,11208kbps,23.98,9.14 GB
"Cars 2 (2011) [tmdbid-49013]/Cars 2 (2011) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AAC by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AAC 5.1 (spa); AAC 7.1 (eng)",6422s,7421kbps,23.98,5.55 GB
"Cars 3 (2017) [tmdbid-260514]/Cars 3 (2017) - (Spanish English Subs) UHD 4K HDR HEVC 10b-AAC by Geot.mkv",HEVC,Main 10,10-bit,HDR10,4K,"AAC 5.1 (spa); AAC 7.1 (eng)",6145s,10849kbps,23.98,7.76 GB
"Casablanca (1943) [tmdbid-289]/Casablanca (1943) - (Spanish English Subs) BDrip 720p x264-AC3 by FrOnkY.mkv",H264,High,8-bit,SDR,480p,"AC3 1.0 (Español AC3 Doblaje 1966); AC3 1.0 (Español AC3 Doblaje 1983); AC3 1.0 (Ingles AC3)",6158s,5845kbps,23.98,4.19 GB
"Cautivos (2014) [tmdbid-244761]/Cautivos (2014) - (Spanish English Subs) BDrip 1080p x264-AC3 by mokesky (filibusteros com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (DD 5.1); AC3 5.1 (DD 5.1)",6686s,5998kbps,24.00,4.67 GB
"Cenicienta (2015) [tmdbid-150689]/Cenicienta (2015) - (Spanish English Subs) BDRip 1080p x264-AC3 by mokesky (hispashare com).mkv",H264,High,8-bit,SDR,1080p,"AC3 5.1 (spa); AC3 5.1 (eng)",6322s,6006kbps,23.98,4.42 GB
"Chappie (2015) [tmdbid-198184]/Chappie (2015) - (Spanish English Subs) Micro4K 2160p SDR x265-AC3 by CHINAKO (hispashare org).mkv",HEVC,Main 10,10-bit,SDR,4K,"AC3 5.1 (Español); AC3 5.1 (English)",7219s,6666kbps,23.98,5.60 GB
